"Name","Description","Star","No. Of reviews","Website","Last review","Service focus","Price","Avarage	Est.","Location","Link","Email","Phone number"
"CodeCat","web development, nodejs, reactjs, angularjs","5.0","1 review","http://codecat.pl","CodeCat is located in Wrocław, Poland. They specialize in software development services.","75%  Custom Software Development
10%  Cloud Consulting & SI
10%  Artificial Intelligence
5%  Web Design
","$1,000+","< $25 / hr","Wrocław, Poland","https://clutch.co/profile/codecat","contact@codecat.pl","+48883781663"
"ikubINFO","Where Yes Means Yes!","5.0","1 review","http://www.ikubinfo.al","""Quote."" — Job Title, Company Name","70%  Custom Software Development
20%  Staff Augmentation
5%  Application Management & Support
5%  Application Testing
","Undisclosed","Undisclosed","Tirana, Albania","https://clutch.co/profile/ikubinfo","sales@ikubinfo.al","+35542235731"
"Solid Expert","Custom Software Development | Dedicated Teams","5.0","1 review","https://solidexpert.ltd","Solid Expert is located in Belarus. They specialzie in .NET, iOS and Android development.","75%  Custom Software Development
25%  Web Design
","$10,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/solid-expert","info@solidexpert.ltd","+1.919.323.3612"
"GTM Plus","Your problem is our business.","5.0","1 review","https://gtm-plus.com/","GTM+ outstaffing company with the best expertise in the Ukrainian market...","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
20%  Staff Augmentation
20%  Artificial Intelligence
","$25,000+","$25 - $49 / hr","Praha, Czech Republic","https://clutch.co/profile/gtm-plus","sale@gtm-plus.com","+380684514815"
"CROSS sp. z o.o.","Brain-made solutions","5.0","1 review","https://www.e-customsoft.com","WHO WE ARE...","70%  Custom Software Development
20%  Financial Accounting
10%  Blockchain
","Undisclosed","Undisclosed","Warsaw, Poland","https://clutch.co/profile/cross-sp-z-oo","hello@cross.pl","+48 22 637 52 54"
"IdelSoft Digital","Custom App Development for Startups & Enterprises","5.0","1 review","http://idelsoft.com","Idelsoft offers web and mobile software development that is performed by experts and tailored to your business domain, market challenges and budget.","20%  Web Development
20%  E-Commerce Development
20%  Mobile App Development
20%  Custom Software Development
20%  AR/VR Development
","$10,000+","$25 - $49 / hr","Russia","https://clutch.co/profile/idelsoft-digital","info@idelsoft.com","none"
"Bunch Consulting","dedicated teams, management, mobile, web, apps","5.0","1 review","https://bunch.consulting/","Bunch Consulting provide project management, web, iOS, Android development, and more.","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
10%  E-Commerce Development
10%  IoT Development
10%  UX/UI Design
10%  Web Design
","$10,000+","$50 - $99 / hr","Warsaw, Poland","https://clutch.co/profile/bunch-consulting","hello@bunch.consulting","none"
"HeadChannel","People. Innovation. Quality.","5.0","1 review","http://www.headchannel.co.uk/","HeadChannel is a software company based in London. Established in 2005. Some of their services are interface design, mobile web applications, and native apps.","40%  Custom Software Development
30%  Mobile App Development
20%  UX/UI Design
10%  BI & Big Data Consulting & SI
","$25,000+","$25 - $49 / hr","Katowice, Poland","https://clutch.co/profile/headchannel","contact@headchannel.net","none"
"iDEA studio","Multimedia Marketing Agency","5.0","1 review","http://www.idea.hr/","iDEA Studio is a multimedia marketing agency based in Samobor, Croatia. They offer services including: Web design, product design, branding, and online and offline advertising.","20%  Web Development
20%  Mobile App Development
20%  UX/UI Design
20%  Web Design
20%  Custom Software Development
","$5,000+","$100 - $149 / hr","Samobor, Croatia","https://clutch.co/profile/idea-studio","info@idea.hr","+ 385.1.3366979"
"RoboRobo","We’re engaged in developing tailored chatbots","5.0","1 review","http://roborobo.tech","Based in Hungary, RoboRobo is a development shop that specializes in mobile application development.","55%  Custom Software Development
20%  UX/UI Design
10%  Content Marketing
10%  Other Marketing
5%  IT Strategy Consulting
","$10,000+","$25 - $49 / hr","Szeged, Hungary","https://clutch.co/profile/roborobo","info@roborobo.hu","+36308768486"
"Omniteq","Business problem solving in the most efficient way","5.0","1 review","https://omniteq.pl/en/home/","With Rapid Application Development tools, we provide solutions to solve business problems in a shorter time...","15%  Web Development
40%  Custom Software Development
15%  CRM Consulting and SI
15%  ERP Consulting and SI
15%  Mobile App Development
","Undisclosed","$25 - $49 / hr","Poznan, Poland","https://clutch.co/profile/omniteq","kontakt@omniteq.pl","+48 61 646 73 53"
"Webchefs Software House","we deliver delicious digital products","5.0","1 review","https://www.webchefs.pl","Based in Poland, Webchefs Software House specializes in mobile apps, WordPress development, bespoke software and e-commerce solutions.","25%  Web Development
25%  Custom Software Development
20%  Mobile App Development
15%  UX/UI Design
15%  Web Design
","$5,000+","$25 - $49 / hr","Krakow, Poland","https://clutch.co/profile/webchefs-software-house","hello@webchefs.pl","+48 533 006 545"
"UA Software LLC","We are developers","5.0","1 review","http://uasoftware.com","UA Software LLC is a a computer software company located in Kropyvnytskyi, Ukraine. Starting in 2002, they develops various types of modern software, mobile applications, business solutions and games.","5%  Web Development
40%  Custom Software Development
20%  Artificial Intelligence
15%  Mobile App Development
10%  E-Commerce Development
5%  Application Testing
5%  AR/VR Development
","$5,000+","$25 - $49 / hr","Kropyvnytskyi, Ukraine","https://clutch.co/profile/ua-software","contact@uasoftware.com","none"
"Sedente","Sedente - your development resource in the cloud!","5.0","1 review","http://www.sedente.com","Based in Texas, Sedente offers mobile development, web development, UI/UX development, and BI analytics.","50%  Web Development
25%  Mobile App Development
25%  Custom Software Development
","$10,000+","$25 - $49 / hr","Krakow, Poland","https://clutch.co/profile/sedente","sales@sedente.com","+48.517.667.724"
"Creative Luggage","Digital Agency in Bucharest, Romania","5.0","1 review","http://www.creativeluggage.com/","We work with the latest technology, as our mission is to always be at the edge of technology...","20%  Web Development
20%  Mobile App Development
20%  Social Media Marketing
20%  Web Design
20%  Custom Software Development
","Undisclosed","Undisclosed","Bucharest, Romania","https://clutch.co/profile/creative-luggage","office@creativeluggage.com","+40.734.038.334"
"BAD SISTEMS LLC","BETTER. AGILE. DIGITAL.","5.0","1 review","https://badsistems.com","BAD SISTEMS specializes in the digitalization of internal processes and operations...","5%  Web Development
50%  Custom Software Development
20%  Branding
10%  Market Research
10%  UX/UI Design
5%  Application Testing
","$50,000+","$25 - $49 / hr","Nis, Serbia","https://clutch.co/profile/bad-sistems","office@badsistems.com","+381 18 30 99 10"
"DIRcms","Content Management System","5.0","1 review","https://www.dircms.lv/par-mums","DIRcms specializes in software development, online shop, content management and search engine optimization. Clients include Ducati, Suzuki and Harry Morgan.","30%  Web Development
30%  Web Design
20%  Search Engine Optimization
20%  Custom Software Development
","$5,000+","$100 - $149 / hr","Centra rajons, Latvia","https://clutch.co/profile/dircms","info@dircms.lv","+371.26.728.245"
"IndigoVerge","Internet of Applied Things","5.0","1 review","http://indigoverge.com/","Based in Sofia, Bulgaria, IndigoVerge provides IoT consulting and software solutions.","20%  Web Development
30%  Custom Software Development
25%  IoT Development
25%  IT Strategy Consulting
","$10,000+","$50 - $99 / hr","Sofia, Bulgaria","https://clutch.co/profile/indigoverge","info@indigoverge.com","(+359) 878.560.569"
"Intexsys","Web Development in Latvia","5.0","1 review","http://www.intexsys.lv","Intexsys is digital solutions company based in Riga, Latvia. Clients include Xnet, Polipaks, and ecentria.","25%  Web Development
25%  E-Commerce Development
25%  Pay Per Click
25%  Custom Software Development
","$1,000+","$25 - $49 / hr","Riga, Latvia","https://clutch.co/profile/intexsys","info@intexsys.lv","+371.6747.12.77"
"Creative Web Bulgaria","WE ARE CREATIVE WEB","5.0","1 review","http://www.creativeweb.bg","Creative Web Bulgaria is an information technology and services in Sofia, Bulgaria. Their services are web design//development, iOS/Android applications, Internet/intranet system development, and CMS and E-commerce development.","20%  Web Development
30%  Custom Software Development
20%  Web Design
20%  Mobile App Development
10%  IT Managed Services
","$5,000+","$25 - $49 / hr","Sofia , Bulgaria","https://clutch.co/profile/creative-web-bulgaria","office@creativeweb.bg","+359878411050"
"2B INTELLIGENT SOFT","Bento Intellectually Curious","5.0","1 review","http://www.bento.ro/en","Based in Romania, Bento is a development shop that specializes in custom software, cloud solutions, outsourcing and IT services.","30%  Web Development
20%  Mobile App Development
20%  Custom Software Development
5%  Application Management & Support
5%  Application Testing
5%  Cloud Consulting & SI
5%  IoT Development
5%  IT Managed Services
5%  IT Strategy Consulting
","$10,000+","$25 - $49 / hr","Bucharest, Romania","https://clutch.co/profile/2b-intelligent-soft","office@bento.ro","+40 214 123 695"
"TARAinteractive","Full Spectrum Custom Software Development","5.0","1 review","http://www.tarainteractive.com/","TARA Interactive is a software development firm that provides enterprise solutions, web applications, and start-up development.","15%  Web Development
30%  Custom Software Development
15%  E-Commerce Development
10%  Application Management & Support
10%  Enterprise App Modernization
10%  Mobile App Development
10%  Wearable App Development
","Undisclosed","$50 - $99 / hr","Bucharest, Romania","https://clutch.co/profile/tarainteractive","office@tarainteractive.com","+40745142011"
"Techinform","Ruby on Rails, UX / UI, mobile apps","5.0","1 review","https://techinform.pro/en","Based in Russia, Techinform provides users with multipe services. Including: web and mobile development, UI/UX, and SaaS.","10%  Web Development
30%  UX/UI Design
30%  Custom Software Development
20%  E-Commerce Development
10%  Mobile App Development
","$25,000+","$50 - $99 / hr","Ufa, Russia","https://clutch.co/profile/techinform","info@techinform.pro","+78007757363"
"Grandiz","CUSTOM SOFTWARE DEVELOPMENT","5.0","1 review","https://grandiz.com/","Founded in 2007, Grandiz is a software company, specializing in Web, Mobile and Wearable Apps development.","20%  Web Development
30%  Mobile App Development
20%  Custom Software Development
15%  UX/UI Design
15%  Web Design
","$5,000+","$25 - $49 / hr","Odessa, Ukraine","https://clutch.co/profile/grandiz","hello@grandiz.com","+1 424 777-82-27"
"ICYGEN","SOFTWARE SOLUTIONS THAT MATCH YOUR BUSINESS GOALS","5.0","1 review","http://www.icygen.com/","ICYGEN specializes in web design and development, custom software, internet marketing and SEO services. Clients include ActiZ, Bridgestone and Avendi.","20%  Web Development
40%  Web Design
20%  E-Commerce Development
20%  Custom Software Development
","$10,000+","$100 - $149 / hr","Sofia, Bulgaria","https://clutch.co/profile/icygen","office@icygen.com","+359.2.962.0099"
"UAB Procreo","Web Development Services","5.0","1 review","http://www.procreo.eu/en/","A Lithuania-based web development agency, services include web applications, design, and eCommerce.","25%  Web Development
25%  E-Commerce Development
25%  Web Design
25%  Custom Software Development
","$5,000+","$100 - $149 / hr","Klaipeda, Lithuania","https://clutch.co/profile/uab-procreo","info@procreo.eu","+370.607.18.779"
"Web Labs Ltd.","Full service digital agency.","5.0","1 review","http://www.web-labs.rs","Web Labs develops business software solutions and provides digital marketing services.","50%  Custom Software Development
10%  Application Management & Support
10%  Product Design
5%  Content Marketing
5%  Email Marketing
5%  Pay Per Click
5%  Search Engine Optimization
5%  Social Media Marketing
5%  UX/UI Design
","$1,000+","$25 - $49 / hr","Belgrade, Serbia","https://clutch.co/profile/web-labs","office@web-labs.rs","+381 (0) 11 212 22 58"
"MDA Interactive Agency","Interactive Agency & Software House","5.0","1 review","https://mda.pl/","We are in the industry for 14 years...","11%  Web Development
30%  Custom Software Development
20%  Web Design
11%  Graphic Design
6%  E-Commerce Development
6%  Logo
6%  UX/UI Design
4%  IT Strategy Consulting
3%  Application Management & Support
3%  Print Design
","$5,000+","$25 - $49 / hr","Poznań, Poland","https://clutch.co/profile/mda-interactive-agency","biuro@mda.pl","+ 48 61 661 48 58"
"Alpha Web Group","Drupal Outsource Agency","5.0","1 review","http://alphawebgroup.com","Alpha Web Group is an outsourcing company specializing in Drupal and Symfony web development.","50%  Web Development
30%  E-Commerce Development
20%  Custom Software Development
","$1,000+","$25 - $49 / hr","Cherkassy, Ukraine","https://clutch.co/profile/alpha-web-group","alpha@alphawebgroup.com","+380 935695766"
"Codex Software","Web | Mobile | Big Data | Cloud | Printing","5.0","1 review","http://codex-soft.net","Located in Belarus, Codex Software provides big data, data mining, scalable web apps, e-commerce and mobile applications.","30%  Web Development
20%  E-Commerce Development
20%  Custom Software Development
20%  Staff Augmentation
10%  Web Design
","$5,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/codex-software","contact@codex-soft.com","none"
"Synergy Way","Web and Software Development Service Provider.","5.0","1 review","https://synergy-way.com/","""Synergy Way is a web and software development services provider with a development center in Lviv, Ukraine.""","30%  Web Development
25%  E-Commerce Development
20%  Custom Software Development
15%  Application Management & Support
10%  Application Testing
","Undisclosed","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/synergy-way","info@synergy-way.com","+380.67.395.0300"
"Pure Interactive","We build new streams of income from digital","5.0","1 review","http://www.pureinteractive.pl/en","We believe that innovators and visionaries can and do change the world and the best instrument for it is software...","40%  Web Development
20%  Custom Software Development
15%  Web Design
15%  UX/UI Design
10%  Application Management & Support
","$10,000+","$25 - $49 / hr","Kraków, Poland","https://clutch.co/profile/pure-interactive","ania@pureinteractive.pl","+48605679337"
"CleverLabs","CleverLabs","5.0","1 review","https://cleverlabs.io","CleverLabs is a software engineering and IT consulting company...","40%  Web Development
20%  E-Commerce Development
20%  Custom Software Development
10%  Blockchain
5%  CRM Consulting and SI
5%  Other IT Consulting and SI
","$25,000+","$25 - $49 / hr","Minsk, Belarus","https://clutch.co/profile/cleverlabs","contact@cleverlabs.io","375297554439"
"DELTA Solutions","DELTA Solutions - Your Software Engineering team.","5.0","1 review","https://www.deltasolutions.pl","""Quote."" — Job Title, Company Name","20%  Web Development
34%  Custom Software Development
30%  IoT Development
10%  Other Application Development
2%  Enterprise App Modernization
2%  Mobile App Development
2%  Wearable App Development
","$1,000+","$25 - $49 / hr","Łódź, Poland","https://clutch.co/profile/delta-solutions","contact@deltasolutions.pl","none"
"Plexteq","IT and cloud software solutions provider","5.0","1 review","http://plexteq.com","Based in the Ukraine, Plexteq provides services in custom software development and Java and .Net web app development...","10%  Web Development
35%  Custom Software Development
20%  Mobile App Development
10%  Enterprise App Modernization
10%  IoT Development
10%  Other Application Development
5%  Application Testing
","$5,000+","$25 - $49 / hr","Ukraine","https://clutch.co/profile/plexteq","sales@plexteq.com","+380 432 50 40 80"
"Devstark","Web products and solutions.","5.0","1 review","https://devstark.com","Based in Russia, DevStark specializes in JavaScript, Vue.js, WebSocket, GraphQL, Node.js, and more.","60%  Web Development
25%  Custom Software Development
15%  UX/UI Design
","$5,000+","$25 - $49 / hr","Russia","https://clutch.co/profile/devstark","info@devstark.com","none"
"No Input Signal","Quality in every bit.","5.0","1 review","https://noinputsignal.com","No input Signal is a software development house based in Warsaw (Poland). ...","50%  Web Development
25%  Custom Software Development
25%  AR/VR Development
","$10,000+","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/no-input-signal","hello@noinputsignal.com","+48 535207080"
"Dumka","ECommerce Development Done Right","5.0","1 review","https://dumka.pro/","eCommerce development team located in Lviv, Ukraine...","25%  Web Development
40%  E-Commerce Development
25%  Custom Software Development
10%  Mobile App Development
","$5,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/dumka","hello@dumka.pro","+380976227608"
"AppNiv","Your Expert Partner","5.0","1 review","http://www.appniv.com/","AppNiv develops project-based solutions and offers team augmentation services.","30%  Web Development
30%  Mobile App Development
20%  Custom Software Development
20%  Staff Augmentation
","$10,000+","$25 - $49 / hr","Cluj, Romania","https://clutch.co/profile/appniv","contact@appniv.com","+972544211188"
"Argus-Soft","Go tech way with Argus-Soft!","5.0","1 review","http://www.argus-soft.net/","For the past 25 years, Argus-Soft has been delivering software development to various companies.","25%  Web Development
20%  Mobile App Development
20%  Custom Software Development
10%  Application Testing
10%  IT Strategy Consulting
5%  Application Management & Support
5%  E-Commerce Development
5%  UX/UI Design
","$1,000+","< $25 / hr","Kharkov, Ukraine","https://clutch.co/profile/argus-soft","info@argus-soft.net","+380660059771"
"Code Pilots","Mobile and web solutions","5.0","1 review","https://code-pilots.com/","We help business owners to create and develop high-quality digital...","25%  Web Development
25%  Mobile App Development
20%  E-Commerce Development
20%  Custom Software Development
10%  AR/VR Development
","$5,000+","$25 - $49 / hr","Saint Petersburg, Russia","https://clutch.co/profile/code-pilots","airmail@code-pilots.com","+7 (812) 318-49-33"
"EXITIV","Production IT!","5.0","1 review","https://exitiv.com/","EXITIV is a team of highly professional, competent and experienced web developers...","50%  Web Development
30%  Mobile App Development
20%  Custom Software Development
","$1,000+","$25 - $49 / hr","Moscow, Russia","https://clutch.co/profile/exitiv","rodionov@exitiv.com","+7 (495) 204-23-43"
"IT House","Your Strategic Partner","5.0","1 review","http://ithouse.cc/?utm_source=clutch.co&utm_medium=directory&utm_campaign=Directory-Submissions","Professional, Industry Level Design, Web Development & Mobile Development at an affordable rate...","30%  Web Development
15%  Custom Software Development
10%  E-Commerce Development
10%  Market Research
10%  Marketing Strategy
10%  Search Engine Optimization
10%  Web Design
5%  Mobile App Development
","Undisclosed","$50 - $99 / hr","Riga, Latvia","https://clutch.co/profile/it-house","info@ithouse.cc","371.20028049"
"Ivision.pl","Best Software, Design and Marketing solutions.","5.0","1 review","https://ivision.pl/","Ivision.pl is an interactive agency based in Kraków, Poland which deals with the implementation and support of web so...","30%  Web Development
20%  E-Commerce Development
15%  UX/UI Design
15%  Web Design
15%  Custom Software Development
5%  Search Engine Optimization
","$10,000+","$50 - $99 / hr","Cracow, Poland","https://clutch.co/profile/ivisionpl","office@ivision.pl","+48 12 44 55 840"
"Let","We create complete solutions.","5.0","1 review","https://let.codes","Let is a joint operation of two multidisciplinary engineers. Based in Hungary, they design, code and create complete solutions from the ground up.","25%  Web Development
50%  Custom Software Development
25%  UX/UI Design
","$5,000+","$50 - $99 / hr","Budapest, Hungary","https://clutch.co/profile/let","info@let.codes","none"
"Pseudocode","Software development agency","5.0","1 review","http://pseudocode.agency/","A Software Development Agency based in Croatia.","50%  Web Development
25%  Mobile App Development
25%  Custom Software Development
","$1,000+","$25 - $49 / hr","Split, Croatia","https://clutch.co/profile/pseudocode","hi@pseudocode.agency","none"
"VR-Reel Media","Budapest VR Studio","5.0","1 review","http://www.vr-reel.com/","VR-Reel Media is a VR studio based in Budapest. They specialize in virtual reality, customer vr content, and software development. Previous clients include CSL Plasma, PULISPACE VR, and ENGENIUOS VR.","50%  Custom Software Development
50%  AR/VR Development
","$10,000+","$100 - $149 / hr","Budapest, Hungary","https://clutch.co/profile/vr-reel-media","media@vr-reel.com","+36.30.506.3450"
"E-Innovart Ltd.","Every project is unique","5.0","1 review","http://www.einnovart.com/","E-Innovart is a web design agency in Budapest, founded in 2015. They offer CRM, ERP systems, E-commerce solutions, and custom web development.","30%  Web Development
30%  Web Design
20%  UX/UI Design
20%  Custom Software Development
","$10,000+","$150 - $199 / hr","Budapest, Hungary","https://clutch.co/profile/e-innovart","media@vr-reel.com","+36.20.437.6510"
"Justwell","Software development agency","5.0","1 review","https://justwell.io/","Justwell provide an array of web development, UX/UI design, and quality assurance services around the world.","60%  Web Development
20%  Mobile App Development
20%  Custom Software Development
","$10,000+","$25 - $49 / hr","Zaporizhzhia, Ukraine","https://clutch.co/profile/justwell","contact@justwell.io","+380990982852"
"QloudSoft","Your Trusted Technology Partner","5.0","1 review","https://www.qloudsoft.com","QloudSoft partners with startups and businesses in growth to support their technology needs. Specializing in web development, mobile app developmentn, and more, QloudSoft is based in Australia.","40%  Web Development
40%  Mobile App Development
20%  Custom Software Development
","$25,000+","$50 - $99 / hr","Ukraine","https://clutch.co/profile/qloudsoft","info@qloudsoft.com","none"
"Martian & Machine","DIgital Product Agency","5.0","1 review","http://martian.agency","Our motto: Innovate like startups, leverage like corporates We partner with startups and corporates to help them grow their business.","20%  Web Development
25%  Mobile App Development
25%  Custom Software Development
20%  UX/UI Design
10%  Web Design
","$10,000+","$50 - $99 / hr","Zagreb, Croatia","https://clutch.co/profile/martian-machine","hello@martian.agency","none"
"WD EXPERT","Your Technology Partner","5.0","1 review","http://wdexpert.com","WD Expert focus on branding, web development, and design.","20%  Web Development
25%  IT Strategy Consulting
25%  Custom Software Development
20%  Mobile App Development
10%  E-Commerce Development
","$10,000+","$25 - $49 / hr","Kiev, Ukraine","https://clutch.co/profile/wd-expert","sales@wdexpert.com","+380.632551225"
"CUBE Systems","Custom Web Development & UX","5.0","1 review","https://www.cubesystems.lv/en","CUBE Systems delivers meaningful, modern and efficient digital services to ambitious clients. Services include Business Process Analysis, UX Design, E-commerce Solutions, Integrations, Document Management Systems, Web Portals, and Specialized Solutions.","50%  Web Development
20%  UX/UI Design
15%  Custom Software Development
10%  Web Design
5%  E-Commerce Development
","$5,000+","$25 - $49 / hr","Riga, Latvia","https://clutch.co/profile/cube-systems","info@cubesystems.lv","+371.2618.1526"
"Braintri","Better. Smarter. Together.","5.0","1 review","http://www.braintri.com/en","Braintri builds custom software, providing consulting services to banks and payment institutions.","5%  Web Development
30%  Custom Software Development
30%  Mobile App Development
10%  BI & Big Data Consulting & SI
5%  Application Management & Support
5%  Application Testing
5%  IT Strategy Consulting
5%  Other Application Development
5%  UX/UI Design
","$75,000+","$50 - $99 / hr","Warsaw, Poland","https://clutch.co/profile/braintri","contact@braintri.com","+48.577.757.721"
"Digital Point: Nearshore Software Outsourcing Partner","Digital Point Nearshore Software Outsourcing","5.0","1 review","http://www.digitalpoint.mk","Based in Macedonia, Digital Point is an IT consulting shop that specializes in M2M, mobile, and web applications.","21%  Web Development
22%  Custom Software Development
22%  Blockchain
16%  Mobile App Development
5%  E-Commerce Development
5%  IT Strategy Consulting
5%  Web Design
4%  Application Testing
","$1,000+","< $25 / hr","Skopje, Macedonia","https://clutch.co/profile/digital-point-nearshore-software-outsourcing-partner","info@digitalpoint.mk","+38972245758"
"ICON Worldwide AG","Big Ideas Are Built Here.","5.0","1 review","http://www.icon-worldwide.com","ICON Worldwide is a full-service digital agency, headquartered in Zurich, Switzerland...","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
5%  Logo
5%  UX/UI Design
5%  Web Design
5%  Graphic Design
5%  Blockchain
5%  Artificial Intelligence
2%  Advertising
2%  Branding
2%  Digital Strategy
2%  Print Design
2%  Social Media Marketing
","$5,000+","$150 - $199 / hr","Sofia, Bulgaria","https://clutch.co/profile/icon-worldwide-ag","office@icon-worldwide.com","none"
"skygate","Developers & designers creating outstanding apps!","5.0","1 review","https://www.skygate.io","SkyGate is a Polish web development company specializing in partnering with startups.","20%  Web Development
20%  Digital Strategy
20%  UX/UI Design
20%  Web Design
20%  Custom Software Development
","$5,000+","$50 - $99 / hr","Gliwice, Poland","https://clutch.co/profile/skygate","info@skygate.io","+48.327.460.327"
"sodigital","We create digital experiences","5.0","1 review","http://www.sodigital.com","Sodigital was established in 2003 with the goal of making innovative games in a pleasant and creative environment...","20%  Web Development
20%  Mobile App Development
20%  Custom Software Development
15%  Web Design
10%  UX/UI Design
10%  Graphic Design
5%  Blockchain
","$1,000+","$25 - $49 / hr","Krakow, Poland","https://clutch.co/profile/sodigital","hello@sodigital.com","none"
"Techmas","Result-oriented solutions in Mobile & Web","5.0","1 review","http://www.techmas.ru","Based in Moscow, Russia, Techmas is a global web and mobile app development company. Clients include Burger King, NotaMedia.ru, and Vasko.ru.","20%  Web Development
50%  Mobile App Development
20%  Custom Software Development
5%  IoT Development
5%  Wearable App Development
","$5,000+","$25 - $49 / hr","Moscow, Russia","https://clutch.co/profile/techmas","ask@techmas.ru","+7 (495) 255 36 93"
"Mobile Management Ltd.","Experienced software house from Poland","5.0","1 review","https://mdevelopers.co/","Mobile Management Ltd. creates a variety of custom web & mobile applications and provides outsourcing services.","20%  Web Development
30%  Staff Augmentation
20%  E-Commerce Development
20%  Custom Software Development
10%  Application Management & Support
","$5,000+","$25 - $49 / hr","Warsaw, Poland","https://clutch.co/profile/mobile-management","office@mobilemanagement.pl","+48502383053"
"Full Moon Digital GmbH","Engineering branded Application Experiences","5.0","1 review","http://www.fullmoon-digital.de","Full Moon provides digital strategy, web design, social media marketing, eCommerce and app development. Clients include Men'sHealth, Mazda and AOK.","20%  Web Development
20%  Custom Software Development
10%  Branding
10%  Digital Strategy
10%  IT Strategy Consulting
10%  Search Engine Optimization
10%  UX/UI Design
10%  Web Design
","$10,000+","$50 - $99 / hr","Kiev, Ukraine","https://clutch.co/profile/full-moon-digital-gmbh","info@fullmoon.digital","none"
"Oleg Chulakov Studio","Information Technology Company in Moscow, Russia","5.0","1 review","https://chulakov.com/","Oleg Chulakov Studio specializes in interactive design together with technologies and animation...","20%  Web Development
20%  Mobile App Development
20%  Web Design
20%  Custom Software Development
10%  Video Production
10%  Graphic Design
","Undisclosed","Undisclosed","Rostov-on-Don, Russia","https://clutch.co/profile/oleg-chulakov-studio","hello@chulakov.ru","+1.646.883.88.61"
"Seavus","Providing Innovative Services Across the Globe","5.0","1 review","http://seavus.com/","Seavus is a software development and consulting company. Their expanding portfolio covers BSS/OSS, CRM, CEM, Business Intelligence solutions, managed services, as well as custom development, consultancy, and resourcing.","20%  CRM Consulting and SI
20%  IoT Development
20%  IT Managed Services
20%  IT Strategy Consulting
20%  Custom Software Development
","$5,000+","$25 - $49 / hr","Tirana, Albania","https://clutch.co/profile/seavus","marija.ferro@seavus.com","none"
"C-Scale Software","Your Romanian team","5.0","1 review","http://www.c-scale.ro","C-Scale Software is a nearshore outsourcing company based in the Romanian university town of Craiova...","20%  Web Development
30%  Custom Software Development
20%  Enterprise App Modernization
10%  Application Management & Support
10%  Wearable App Development
5%  E-Commerce Development
5%  Mobile App Development
","Undisclosed","$25 - $49 / hr","Craiova, Romania","https://clutch.co/profile/c-scale-software","office@c-scale.ro","+40351416126"
"Scimus Solution, LLC","The place of decisions","5.0","1 review","http://thescimus.com","Scimus Solution specializes in mobile and web application development...","40%  Web Development
40%  Application Testing
20%  Custom Software Development
","$10,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/scimus-solution","tech@thescimus.com","+1 857 366 6802"
"IES PLUS","Energizing your web and mobile","5.0","1 review","http://iesplus.pro","IES PLUS offers game, app, and other techonlogy development services","30%  Web Development
30%  Mobile App Development
20%  Custom Software Development
10%  Enterprise App Modernization
10%  Other Application Development
","$5,000+","$25 - $49 / hr","Brest, Belarus","https://clutch.co/profile/ies-plus","info@iesplus.pro","+375297214124"
"The Foundry","Moving technology.","5.0","1 review","https://thefoundry.io/en/","Based in Copenhagen, Denmark, The Foundry is a creative digital company with a primary focus on delivering world-clas...","25%  Web Development
20%  Mobile App Development
20%  Custom Software Development
10%  E-Commerce Development
10%  UX/UI Design
10%  Web Design
5%  Application Management & Support
","$5,000+","$50 - $99 / hr","Minsk, Belarus","https://clutch.co/profile/foundry-2","hello@thefoundry.io","none"
"Webby-Soft","Feels good having a plan","5.0","1 review","http://webby-soft.com","Webby-Soft provide an assortment of development, SEO, design, and support services.","36%  Web Development
18%  Custom Software Development
10%  Mobile App Development
10%  Blockchain
5%  Application Testing
5%  Cloud Consulting & SI
5%  ERP Consulting and SI
5%  UX/UI Design
3%  IT Managed Services
3%  Cybersecurity
","$5,000+","$25 - $49 / hr","Bucharest, Romania","https://clutch.co/profile/webby-soft","office@webby-soft.com","+40741155647"
"Ardas","Java JavaScript React Vue Mobile Saas development","5.0","1 review","http://ardas-it.com","Founded in 2002, Ardas is a group of IT engineers who specialize in B2C services, healthcare, communications, games a...","20%  Web Development
20%  Enterprise App Modernization
15%  Custom Software Development
10%  Mobile App Development
10%  UX/UI Design
10%  Web Design
5%  Application Management & Support
5%  E-Commerce Development
5%  Blockchain
","$5,000+","Undisclosed","Dnipro, Ukraine","https://clutch.co/profile/ardas","info@ardas.ua","none"
"Betedo","Software Development Company & IT Services","5.0","1 review","http://www.betedo.com","Located in Lviv, Ukraine, Betedo specializes in IT solutions, consulting, and software development. Betedo provides a wide range of IT-services in Ukraine and Europe.","35%  Web Development
20%  Search Engine Optimization
15%  E-Commerce Development
15%  Mobile App Development
15%  Custom Software Development
","$1,000+","$25 - $49 / hr","Lviv, Ukraine","https://clutch.co/profile/betedo","support@betedo.com","+380678623536"
